                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68276,                0.45193,                 1.0553,                0.99476,                0.98086,                0.99448,                0.92308,                0.42482,                0.28047,                0.86906,               0.001307,               0.001307,               0.001307
                     37,                 0.6262,                0.41219,                 1.0283,                0.97552,                0.98086,                0.99376,                0.91682,                0.43544,                0.29165,                0.88343,              0.0012872,              0.0012872,              0.0012872
                     38,                0.64124,                0.42103,                 1.0379,                0.99029,                0.97572,                0.99323,                0.91758,                0.42848,                0.28876,                0.87752,              0.0012674,              0.0012674,              0.0012674
                     39,                0.64323,                0.42868,                 1.0357,                0.99943,                0.98086,                0.99481,                0.92102,                0.42957,                0.26829,                0.88187,              0.0012476,              0.0012476,              0.0012476
                     40,                0.64176,                0.41823,                 1.0392,                0.98559,                0.98198,                 0.9941,                0.92573,                0.43378,                0.27448,                0.87365,              0.0012278,              0.0012278,              0.0012278
                     41,                0.64686,                0.43482,                 1.0418,                0.99977,                0.99043,                  0.995,                0.92255,                0.43321,                0.26348,                0.88402,               0.001208,               0.001208,               0.001208
                     42,                0.65587,                0.43691,                 1.0557,                0.99446,                0.98565,                0.99384,                0.91433,                0.43897,                0.27749,                0.87699,              0.0011882,              0.0011882,              0.0011882
                     43,                0.67327,                0.44699,                 1.0549,                0.99426,                0.98565,                 0.9919,                 0.9106,                0.43388,                0.27181,                0.86585,              0.0011684,              0.0011684,              0.0011684
                     44,                0.63633,                 0.4274,                 1.0326,                0.99782,                0.99043,                  0.995,                0.92129,                0.41241,                  0.269,                0.85717,              0.0011486,              0.0011486,              0.0011486
                     45,                0.62185,                0.43729,                 1.0341,                      1,                0.97514,                0.99363,                0.91045,                0.45445,                0.27789,                0.88099,              0.0011288,              0.0011288,              0.0011288
                     46,                0.63231,                0.41972,                 1.0283,                 0.9978,                0.97608,                0.99453,                0.91609,                0.45125,                0.26429,                0.87795,               0.001109,               0.001109,               0.001109
                     47,                0.63485,                0.42471,                  1.047,                      1,                0.98494,                0.99486,                0.92111,                0.41939,                0.26222,                0.86872,              0.0010892,              0.0010892,              0.0010892
